Date,Unix,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,Change
2017-08-17,1502928000000,BTCUSDT,4261.48,4485.39,4200.74,4285.08,795.150377,3454770.05073206,3427,
2017-08-18,1503014400000,BTCUSDT,4285.08,4371.52,3938.77,4108.37,1199.888264,5086958.30617151,5233,
2017-08-19,1503100800000,BTCUSDT,4108.37,4184.69,3850.0,4139.98,381.309763,1549483.73542151,2153,
2017-08-20,1503187200000,BTCUSDT,4120.98,4211.08,4032.62,4086.29,467.083022,1930364.39032646,2321,
2017-08-21,1503273600000,BTCUSDT,4069.13,4119.62,3911.79,4016.0,691.74306,2797231.71402728,3972,
2017-08-22,1503360000000,BTCUSDT,4016.0,4104.82,3400.0,4040.0,966.684858,3752505.77214051,6494,
2017-08-23,1503446400000,BTCUSDT,4040.0,4265.8,4013.89,4114.01,1001.136565,4148686.46581968,8629,
2017-08-24,1503532800000,BTCUSDT,4147.0,4371.68,4085.01,4316.01,787.418753,3296476.41316476,6247,
2017-08-25,1503619200000,BTCUSDT,4316.01,4453.91,4247.48,4280.68,573.61274,2484637.34936327,6554,
2017-08-26,1503705600000,BTCUSDT,4280.71,4367.0,4212.41,4337.44,228.108068,977865.7333321,2260,
2017-08-27,1503792000000,BTCUSDT,4332.51,4400.0,4285.54,4310.01,350.692585,1521580.06202557,3670,
2017-08-28,1503878400000,BTCUSDT,4310.01,4399.82,4124.54,4386.69,603.841616,2591660.52579953,4349,
2017-08-29,1503964800000,BTCUSDT,4353.65,4625.85,4313.55,4587.48,603.545028,2682483.73582991,4159,
2017-08-30,1504051200000,BTCUSDT,4564.52,4647.51,4416.01,4555.14,808.468771,3683714.68666123,5551,
2017-08-31,1504137600000,BTCUSDT,4555.14,4745.42,4555.14,4724.89,556.956802,2579878.72401184,4161,
2017-09-01,1504224000000,BTCUSDT,4689.89,4885.55,4654.88,4834.91,560.666366,2665165.55924616,4000,
2017-09-02,1504310400000,BTCUSDT,4796.16,4939.19,4286.87,4472.14,929.148595,4257723.944817,7475,
2017-09-03,1504396800000,BTCUSDT,4508.5,4714.76,4298.33,4509.08,691.216198,3121052.75230181,6022,
2017-09-04,1504483200000,BTCUSDT,4505.0,4527.49,3972.51,4100.11,1394.644614,5909947.49008974,9317,
2017-09-05,1504569600000,BTCUSDT,4106.97,4484.99,3603.0,4366.47,1228.938157,5083453.18675071,10084,
2017-09-06,1504656000000,BTCUSDT,4366.49,4662.87,4335.26,4619.77,807.363726,3626346.05544323,7956,
2017-09-07,1504742400000,BTCUSDT,4619.77,4788.59,4438.19,4691.61,500.429975,2305795.13638315,3070,
2017-09-08,1504828800000,BTCUSDT,4691.66,4735.39,4028.93,4282.8,1132.255046,4866527.22639337,4733,
2017-09-09,1504915200000,BTCUSDT,4282.8,4426.62,4150.06,4258.81,658.782952,2815383.46568698,3777,
2017-09-10,1505001600000,BTCUSDT,4258.81,4283.0,3801.0,4130.37,660.373275,2700371.80819211,3435,
2017-09-11,1505088000000,BTCUSDT,4153.62,4334.43,4098.91,4208.47,699.989065,2956842.76250147,4228,
